   2.4244455e+01   5.4311622e+02   1.9974340e+16
   3.0510005e+01   1.0183429e+02   7.5868707e+15
   3.1187625e+01   1.6293487e+03   1.2253014e+16
   5.2930639e+01   1.6293487e+03   1.6678460e+16
   5.4103594e+01   1.6293487e+03   1.6574446e+16
   8.1490346e+01   8.1467435e+02   4.0819618e+15
   8.3785802e+01   5.4311622e+02   9.0569794e+14
   8.6192855e+01   4.0733718e+02   6.8528637e+15
   1.1652976e+02   1.6293487e+03   1.2690060e+16
   1.2358939e+02   8.1467435e+02   9.9555324e+15
   1.2557608e+02   3.2586975e+02   1.5820008e+15
   1.2601763e+02   1.6293487e+03   1.0254328e+16
   1.3175976e+02   8.1467435e+02   5.2647693e+15
   1.4646079e+02   5.4311622e+02   4.7724341e+15
   1.6826453e+02   1.6293487e+03   6.1381687e+15
   2.0095656e+02   1.6293487e+03   8.3116483e+15
   2.3556641e+02   3.2586975e+02   1.2643749e+15
   2.5587708e+02   1.6293487e+03   3.9365154e+15
   6.8425074e+01   1.6293487e+03   7.6902330e+15
